49
12,0.3845291795,0.5377673073,12,0.3255436187,0.5577526251,12,0.3255436187,0.532817208,12,0.4633187775,0.6061709587
12.5,0.4008676736,0.5760857965,12.5,0.3294019992,0.6000548091,12.5,0.3294019992,0.5590911709,12.5,0.4978470892,0.6300530279
13,0.4173304367,0.6127407281,13,0.3349247593,0.6353072996,13,0.3349247593,0.5824476809,13,0.5300051403,0.6494901548
13.5,0.4347212096,0.6477343709,13.5,0.342614734,0.6647550556,13.5,0.342614734,0.6042490605,13.5,0.5599962251,0.6661916471
14,0.453837114,0.6811139839,14,0.3530309886,0.6899580225,14,0.3530309886,0.6256128577,14,0.5882310374,0.6816100944
14.5,0.4753925624,0.7129365195,14.5,0.3667561209,0.7124351308,14.5,0.3667561209,0.6473205791,14.5,0.6152513745,0.6968296793
15,0.4999459365,0.743241258,15,0.3843491287,0.7334299734,15,0.3843491287,0.6698149777,15,0.6416403966,0.7125586588
15.5,0.5278359058,0.7720333039,15.5,0.4062863959,0.7538101017,15.5,0.4062863959,0.6932496712,15.5,0.667932354,0.7291823351
16,0.5591345694,0.7992785129,16,0.432896348,0.7740714013,16,0.432896348,0.7175584865,16,0.6945342265,0.7468375037
16.5,0.5936240034,0.8249084194,16.5,0.4642960134,0.7944034177,16.5,0.4642960134,0.742523413,16.5,0.7216694562,0.7654835299
17,0.6308009464,0.8488323781,17,0.5003393923,0.8147759179,17,0.5003393923,0.7678317125,17,0.749350307,0.7849595145
17.5,0.669911235,0.8709535496,17.5,0.5405875202,0.8350208979,17.5,0.5405875202,0.7931206192,17.5,0.7773809478,0.805026659
18,0.7100115883,0.8911854498,18,0.58430808,0.8548984633,18,0.58430808,0.8180116596,18,0.8053888073,0.825399292
18.5,0.7500521559,0.9094663911,18.5,0.6305084739,0.8741447554,18.5,0.6305084739,0.842137237,18.5,0.8328777982,0.8457686431
19,0.7889698084,0.9257700177,19,0.678001041,0.8925047239,19,0.678001041,0.8651613774,19,0.8592942445,0.865822331
19.5,0.8257802771,0.940111078,19.5,0.7254936081,0.9097535734,19.5,0.7254936081,0.8867955664,19.5,0.8840951991,0.8852610648
20,0.859657458,0.9525464185,20,0.7716940021,0.925710035,20,0.7716940021,0.9068099457,20,0.9068094063,0.9038129308
20.5,0.8899904754,0.9631718135,20.5,0.8154145618,0.9402435691,20.5,0.8154145618,0.9250398936,20.5,0.9270832758,0.9212450228
