4,6
11
22,0.3900201496,0.1374922036,22,0.7625257531,0.2110321024,22,0.4382261984,0.0730471865,22,0.0730471865,0.0730471865
23,0.4624274119,0.1694767292,23,0.835652313,0.2552139079,23,0.5152308634,0.0908354105,23,0.0908354105,0.0908354105
24,0.53776618,0.206137222,24,0.894159611,0.3044064291,24,0.5935335223,0.111639093,24,0.111639093,0.111639093
25,0.6135502079,0.247514212,25,0.9372124057,0.358182684,25,0.6701750725,0.1356888905,25,0.1356888905,0.1356888905
26,0.6870316828,0.293479071,26,0.9660672332,0.4158474832,26,0.7421267192,0.1631726761,26,0.1631726761,0.1631726761
27,0.7554812975,0.343705432,27,0.9834936624,0.4764334773,27,0.8066590853,0.1942192486,27,0.1942192486,0.1942192486
28,0.8165110971,0.3976490053,28,0.9928667809,0.5387220962,28,0.8617089295,0.2288811547,28,0.2288811547,0.2288811547
29,0.868379955,0.4545404256,29,0.9972999285,0.6012935646,29,0.9061581777,0.2671175767,29,0.2671175767,0.2671175767
30,0.9102120891,0.5133956059,30,0.9991183723,0.6626068048,30,0.939948654,0.3087785549,30,0.3087785549,0.3087785549
31,0.9420703886,0.5730470777,31,0.9997557272,0.7211052829,31,0.9639943436,0.3535921006,31,0.3535921006,0.3535921006
32,0.9648600302,0.6321978419,32,0.9999435739,0.77533934,32,0.9799120337,0.4011559736,32,0.4011559736,0.4011559736
33,0.9800853552,0.6894963253,33,0.9999893367,0.82409038,33,0.989648477,0.4509359665,33,0.4509359665,0.4509359665
34,0.9895267547,0.7436274307,34,0.9999983844,0.8664789117,34,0.9951118579,0.5022724098,34,0.5022724098,0.5022724098
35,0.994925389,0.7934109216,35,0.9999998079,0.9020383102,35,0.9979025212,0.5543962149,35,0.5543962149,0.5543962149
36,0.9977519098,0.8378953377,36,0.9999999825,0.9307401733,36,0.9991894584,0.6064550726,36,0.6064550726,0.6064550726
37,0.9990967962,0.8764342094,37,0.9999999988,0.9529651593,37,0.9997205875,0.6575494395,37,0.6575494395,0.6575494395
38,0.9996737289,0.9087323357,38,0.9999999999,0.9694236981,38,0.9999149392,0.7067767166,38,0.7067767166,0.7067767166
39,0.9998949892,0.93485364,39,1,0.9810413176,39,0.9999773749,0.7532807164,39,0.7532807164,0.7532807164
40,0.9999701758,0.9551882475,40,1,0.9888304722,40,0.9999948009,0.7963022938,40,0.7963022938,0.7963022938
41,0.9999926011,0.9703837646,41,1,0.9937723711,41,0.99999898,0.8352261579,41,0.8352261579,0.8352261579
42,0.9999984137,0.9812525054,42,1,0.9967278029,42,0.9999998313,0.8696186065,42,0.8696186065,0.8696186065
43,0.9999997094,0.9886707478,43,1,0.998386905,43,0.9999999768,0.8992514386,43,0.8992514386,0.8992514386
44,0.999999955,0.9934867013,44,1,0.9992573845,44,0.9999999974,0.9241086546,44,0.9241086546,0.9241086546
45,0.9999999942,0.996450512,45,1,0.9996822878,45,0.9999999998,0.9443746465,45,0.9443746465,0.9443746465
46,0.9999999994,0.9981734029,46,1,0.9998743241,46,1,0.9604051063,46,0.9604051063,0.9604051063
47,0.9999999999,0.999115899,47,1,0.9999542809,47,1,0.972684383,47,0.972684383,0.972684383
48,1,0.9995991951,48,1,0.9999847894,48,1,0.9817749911,48,0.9817749911,0.9817749911
49,1,0.9998305487,49,1,0.9999953988,49,1,0.9882659533,49,0.9882659533,0.9882659533
50,1,0.9999334937,50,1,0.9999987422,50,1,0.9927264295,50,0.9927264295,0.9927264295
51,1,0.9999758829,51,1,0.9999996912,51,1,0.995669672,51,0.995669672,0.995669672
52,1,0.9999919594,52,1,0.9999999324,52,1,0.9975301142,52,0.9975301142,0.9975301142
53,1,0.9999975481,53,1,0.9999999869,53,1,0.9986538895,53,0.9986538895,0.9986538895
54,1,0.9999993198,54,1,0.9999999978,54,1,0.9993008806,54,0.9993008806,0.9993008806
55,1,0.9999998293,55,1,0.9999999997,55,1,0.9996549666,55,0.9996549666,0.9996549666
56,1,0.9999999615,56,1,1,56,1,0.9998386628,56,0.9998386628,0.9998386628
57,1,0.9999999922,57,1,1,57,1,0.9999287397,57,0.9999287397,0.9999287397
58,1,0.9999999986,58,1,1,58,1,0.9999703635,58,0.9999703635,0.9999703635
59,1,0.9999999998,59,1,1,59,1,0.9999884323,59,0.9999884323,0.9999884323
60,1,1,60,1,1,60,1,0.9999957769,60,0.9999957769,0.9999957769
11
0,0,0,0,0,0,0,0,0,0,0,0
1,0.05,0.1,1,0.05,0.1,1,0.05,0.15,1,0.2,0.1
2,0.1,0.2,2,0.25,0.3,2,0.15,0.3,2,0.3,0.2
3,0.3,0.25,3,0.7,0.7,3,0.55,0.6,3,0.5,0.5
4,0.6,0.55,4,0.95,0.95,4,0.9,0.9,4,0.8,0.8
